GEOID,assignment
060070018001,3
060070018002,3
060070018003,3
060070018004,3
060070018005,3
060070019001,3
060070019002,3
060070019003,3
060070019004,3
060070020001,3
060070020002,3
060070020003,3
060070020004,3
060070020005,3
060070020006,3
060070021001,3
060070021002,3
060070021003,3
060070021004,3
060070021005,3
060070022001,3
060070022002,3
060070022003,3
060070022004,3
060070023001,3
060070023002,3
060070023003,3
060070023004,3
060070023005,3
060070024011,3
060070024012,3
060070024021,3
060070024022,3
060070024023,3
060070025001,3
060070025002,3
060070025003,3
060070025004,3
060070026011,3
060070026012,3
060070026013,3
060070026021,3
060070026022,3
060070026023,3
060070027001,3
060070027002,3
060070027003,3
060070027004,3
060070027005,3
060070027006,3
060070028001,3
060070028002,3
060070028003,3
060070028004,3
060070028005,3
060070029001,3
060070029002,3
060070030011,3
060070030012,3
060070030013,3
060070030014,3
060070030021,3
060070030022,3
060070030023,3
060070030024,3
060070031001,3
060070031002,3
060070031003,3
060070031004,3
060070032001,3
060070032002,3
060070032003,3
060070033001,3
060070033002,3
060070033003,3
060070034001,3
060070034002,3
060070035011,3
060070035012,3
060070035013,3
060070035014,3
060070035021,3
060070035022,3
060070035023,3
060070035024,3
060070036001,3
060070036002,3
060070036003,3
060070037001,3
060070037002,3
060070037003,3
060070037004,3
060090001211,4
060090001212,4
060090001213,4
060090001221,4
060090001222,4
060090001223,4
060090001231,4
060090001232,4
060090001241,4
060090001242,4
060090002201,4
060090002202,4
060090002203,4
060090002211,4
060090002212,4
060090002213,4
060090002221,4
060090002222,4
060090003011,4
060090003012,4
060090003013,4
060090003021,4
060090003022,4
060090004001,4
060090004002,4
060090004003,4
060090004004,4
060090004005,4
060090004006,4
060090005011,4
060090005012,4
060090005041,4
060090005042,4
060090005051,4
060090005052,4
060090005061,4
060110001001,3
060110001002,4
060110001003,3
060110001004,3
060110002001,3
060110002002,3
060110002003,3
060110002004,3
060110002005,3
060110003011,3
060110003012,3
060110003021,3
060110003022,3
060110004001,3
060110004002,3
060110004003,3
060110005001,3
060110005002,3
060110005003,3
060110005004,3
060133010001,4
060133010002,4
060133010003,4
060133010004,4
060133020051,4
060133020052,4
060133020053,4
060133020054,4
060133020061,4
060133020062,4
060133020071,4
060133020072,4
060133020073,4
060133020091,4
060133020092,4
060133020093,4
060133020094,4
060133020111,4
060133020112,4
060133020121,4
060133020122,4
060133020131,4
060133020132,4
060133020141,4
060133020142,4
060133020143,4
060133031041,4
060133031042,4
060133031051,4
060133031061,4
060133031062,4
060133031063,4
060133031071,4
060133031072,4
060133031073,4
060133031074,4
060133032021,4
060133032022,4
060133032023,4
060133032041,4
060133032042,4
060133032043,4
060133032061,4
060133032062,4
060133032071,4
060133032072,4
060133032073,4
060133032081,4
060133032082,4
060133032091,4
060133032092,4
060133032101,4
060133032102,4
060133032111,4
060133032112,4
060133040011,4
060133040012,4
060133040021,4
060133040031,4
060133040032,4
060133040041,4
060133040042,4
060133040061,4
060133040071,4
060133040072,4
060133040073,4
060133050001,4
060133050002,4
060133050003,4
060133050004,4
060133050005,4
060133060021,4
060133060022,4
060133060031,4
060133060032,4
060133060033,4
060133060041,4
060133060042,4
060133071011,4
060133071012,4
060133071013,4
060133071021,4
060133071022,4
060133071023,4
060133071024,4
060133072011,4
060133072012,4
060133072021,4
060133072022,4
060133072023,4
060133072041,4
060133072042,4
060133072043,4
060133072051,4
060133072052,4
060133072053,4
060133072054,4
060133080011,4
060133080012,4
060133080013,4
060133080014,4
060133080021,4
060133080022,4
060133080023,4
060133090001,3
060133090002,4
060133090003,3
060133100001,4
060133100002,4
060133100003,3
060133100004,3
060133110001,3
060133110002,3
060133110003,3
060133120001,3
060133131021,3
060133131022,4
060133131041,3
060133131042,3
060133131051,3
060133131052,3
060133131053,3
060133131061,3
060133131062,4
060133131071,3
060133131072,3
060133132031,3
060133132032,3
060133132041,3
060133132042,4
060133132043,3
060133132051,3
060133132061,3
060133132062,3
060133132063,3
060133132064,3
060133141021,3
060133141022,3
060133141023,3
060133141031,3
060133141032,3
